name,lon,lat,dist
Cachoeirinha,-47.9141977786,-6.1132416465,#NAME?
Campos Lindos,-46.8019743467,-7.9716813941,#NAME?
Cariri do Tocantins,-49.171040729,-11.8889974639,#NAME?
Carmolândia,-48.3959599306,-7.0314787779,#NAME?
Carrasco Bonito,-48.0306334266,-5.3226613549,#NAME?
Caseara,-49.9486922678,-9.2674062189,#NAME?
Centenário,-47.3383985146,-8.9584636391,#NAME?
Chapada de Areia,-49.183107858,-10.1419885833,#NAME?
Chapada da Natividade,-47.7539048919,-11.6242678314,#NAME?
Colinas do Tocantins,-48.4815945437,-8.0546246755,#NAME?
Combinado,-46.5520723403,-12.818607672,#NAME?
Conceição do Tocantins,-47.2928688108,-12.217277767,#NAME?
Couto Magalhães,-49.1765715709,-8.3551183696,#NAME?
Cristalândia,-49.1863002913,-10.5907246371,#NAME?
Crixás do Tocantins,-48.9155138256,-11.1042742936,#NAME?
Darcinópolis,-47.7521611103,-6.7123510015,#NAME?
Dianópolis,-46.8204090669,-11.6252318781,#NAME?
Divinópolis do Tocantins,-49.2054131874,-9.7953011402,#NAME?
Dois Irmãos do Tocantins,-49.0673386443,-9.2612967098,#NAME?
Dueré,-49.2658759162,-11.3412854168,#NAME?
Esperantina,-48.5441476004,-5.3666080594,#NAME?
Fátima,-48.8989826587,-10.7525087281,#NAME?
Figueirópolis,-49.1738467307,-12.1367799832,#NAME?
Filadélfia,-47.4849641415,-7.3376119059,#NAME?
Formoso do Araguaia,-49.5268603629,-11.8051419686,#NAME?
Fortaleza do Tabocão,-48.517426421,-9.0589653011,#NAME?
Goianorte,-48.9368901924,-8.7705208048,#NAME?
Goiatins,-47.3154354892,-7.7091723902,#NAME?
Guaraí,-48.5086406065,-8.8361656575,#NAME?
Gurupi,-49.0714774689,-11.7297723229,#NAME?
Ipueiras,-48.4519262289,-11.2462886216,#NAME?
Itacajá,-47.7681124027,-8.3909805523,#NAME?
Itaguatins,-47.479935949,-5.7753850884,#NAME?
Itapiratins,-48.1111996095,-8.3843295934,#NAME?
Itaporã do Tocantins,-48.6932637032,-8.5688286116,#NAME?
Jaú do Tocantins,-48.5946082927,-12.6529263693,#NAME?
Juarina,-49.0986431854,-8.1174239676,#NAME?
Lagoa da Confusão,-49.6200853391,-10.7886955576,#NAME?
Lagoa do Tocantins,-47.5614466303,-10.296886697,#NAME?
Lajeado,-48.3585039507,-9.7446824357,#NAME?
Lavandeira,-46.5066757157,-12.7916587877,#NAME?
Lizarda,-46.6751654558,-9.5945702878,#NAME?
Luzinópolis,-47.8568280414,-6.1939896602,#NAME?
Marianópolis do Tocantins,-49.6510339944,-9.7988803594,#NAME?
Mateiros,-46.4124657431,-10.5444288461,#NAME?
Maurilândia do Tocantins,-47.5048799602,-5.9525664212,#NAME?
Miracema do Tocantins,-48.3879913115,-9.5683460776,#NAME?
Miranorte,-48.5926319369,-9.5174047311,#NAME?
Monte do Carmo,-48.1104200299,-10.7635421946,#NAME?
Monte Santo do Tocantins,-48.9908906034,-10.0055914318,#NAME?
Palmeiras do Tocantins,-47.5586835263,-6.6118623346,#NAME?
Muricilândia,-48.606745277,-7.1385192852,#NAME?
Natividade,-47.7272575338,-11.7053573825,#NAME?
Nazaré,-47.6669771825,-6.3725579693,#NAME?
Nova Olinda,-48.42480679,-7.6333149107,#NAME?
Nova Rosalândia,-48.9061807245,-10.5668711393,#NAME?
Novo Acordo,-47.6681483922,-9.9684864657,#NAME?
Novo Alegre,-46.5772973537,-12.9099386744,#NAME?
Novo Jardim,-46.6307872959,-11.8158750501,#NAME?
Oliveira de Fátima,-48.9074015689,-10.7083627091,#NAME?
Palmeirante,-47.934249709,-7.8575613761,#NAME?
Palmeirópolis,-48.4134139552,-13.0398884337,#NAME?
Paraíso do Tocantins,-48.886630084,-10.171220755,#NAME?
Paranã,-47.8840837284,-12.6204814887,#NAME?
Pau D'Arco,-49.363306481,-7.5399983557,#NAME?
Pedro Afonso,-48.1775561127,-8.9644495924,#NAME?
Peixe,-48.5378106263,-12.0297738309,#NAME?
Pequizeiro,-48.9351798669,-8.5933406544,#NAME?
Colméia,-48.7570665857,-8.7293718068,#NAME?
Pindorama do Tocantins,-47.5756877173,-11.1382025847,#NAME?
Piraquê,-48.2937073911,-6.7697770334,#NAME?
Pium,-49.1666580116,-10.4409311179,#NAME?
Ponte Alta do Bom Jesus,-46.4695867924,-12.0878129084,#NAME?
Ponte Alta do Tocantins,-47.5411803583,-10.7406728487,#NAME?
Porto Alegre do Tocantins,-47.0474256004,-11.6072590991,#NAME?
Porto Nacional,-48.4121534584,-10.708569917,#NAME?
Praia Norte,-47.8147317333,-5.3967128774,#NAME?
Presidente Kennedy,-48.5043306701,-8.5299608276,#NAME?
Pugmil,-48.8942204488,-10.4243071562,#NAME?
Recursolândia,-47.238041195,-8.7353604539,#NAME?
Riachinho,-48.141045502,-6.4422113877,#NAME?
Rio da Conceição,-46.8803997046,-11.4049400239,#NAME?
Rio dos Bois,-48.5330479716,-9.3437422387,#NAME?
Rio Sono,-47.8999416391,-9.3477893341,#NAME?
Sampaio,-47.8757924572,-5.3492956165,#NAME?
Sandolândia,-49.9333881543,-12.5416001675,#NAME?
Santa Fé do Araguaia,-48.6939418034,-7.149936385,#NAME?
Santa Maria do Tocantins,-47.7452704192,-8.7749764493,#NAME?
Santa Rita do Tocantins,-48.9092940074,-10.8664553694,#NAME?
Santa Rosa do Tocantins,-48.1199542218,-11.4514039985,#NAME?
Santa Tereza do Tocantins,-47.8062883215,-10.2823615278,#NAME?
Santa Terezinha do Tocantins,-47.684285363,-6.4369976184,#NAME?
São Bento do Tocantins,-47.9193922871,-6.0449992572,#NAME?
São Félix do Tocantins,-46.654980831,-10.173285854,#NAME?
São Miguel do Tocantins,-47.5730023394,-5.5538195288,#NAME?
São Salvador do Tocantins,-48.2320849917,-12.7474334145,#NAME?
São Sebastião do Tocantins,-48.203834149,-5.2589614537,#NAME?
São Valério,-48.2329484334,-11.9730674595,#NAME?
Silvanópolis,-48.1798241355,-11.1498613086,#NAME?
Sítio Novo do Tocantins,-47.6374226505,-5.6047268567,#NAME?
Sucupira,-48.9111262827,-11.9862215109,#NAME?
Taguatinga,-46.4387317009,-12.3961417387,#NAME?
Taipas do Tocantins,-46.9845717959,-12.1928372091,#NAME?
Talismã,-49.0911184339,-12.7875384069,#NAME?
Palmas,-48.3510437082,-10.1632533268,#NAME?
Tocantínia,-48.3758796714,-9.558147734,#NAME?
Tocantinópolis,-47.4274129287,-6.325634376,#NAME?
Tupirama,-48.2066848031,-8.9805695494,#NAME?
Tupiratins,-48.1229957409,-8.395529997,#NAME?
Wanderlândia,-47.95626773,-6.850125517,#NAME?
Xambioá,-48.53160107,-6.41188502,#NAME?
Açailândia,-47.5066645931,-4.9513770002,#NAME?
Afonso Cunha,-43.320869004,-4.1350154769,#NAME?
Água Doce do Maranhão,-42.1155512017,-2.8402782791,#NAME?
Alcântara,-44.4170125373,-2.4032765251,#NAME?
Aldeias Altas,-43.4687348529,-4.6307794952,#NAME?
Altamira do Maranhão,-45.4646758312,-4.1622692669,#NAME?
Alto Alegre do Maranhão,-44.4482474945,-4.207227,#NAME?
Alto Alegre do Pindaré,-45.8420796162,-3.6651703745,#NAME?
Alto Parnaíba,-45.9273440133,-9.1083659322,#NAME?
Amapá do Maranhão,-46.0091799004,-1.6809214951,#NAME?
Amarante do Maranhão,-46.7506375455,-5.5576620002,#NAME?
Anajatuba,-44.6206700278,-3.2575548421,#NAME?
Anapurus,-43.1057925097,-3.6670346623,#NAME?
Apicum-Açu,-45.0766520734,-1.5305915778,#NAME?
Araguanã,-45.6687944761,-2.9491256233,#NAME?
Araioses,-41.8991394499,-2.8892558464,#NAME?
Arame,-46.0136362778,-4.886081505,#NAME?
Arari,-44.7788346547,-3.4591709701,#NAME?
Axixá,-44.0545858091,-2.8377968371,#NAME?
