,UF,cidade,dist,lat,lon
1248,PB,Algodão de Jandaíra,2136.7545603587064,-0.1205096448024318,-0.6284248805896557
1249,PB,Alhandra,2155.773716945037,-0.12973024130866093,-0.6093290893691141
1250,PB,São João do Rio do Peixe,2021.03586923184,-0.11753799120164393,-0.6709997472330709
1251,PB,Amparo,2012.6863307296146,-0.13207275624677,-0.6469023645910431
1252,PB,Aparecida,2034.143731659321,-0.11839781567071762,-0.6646796426917352
1253,PB,Araçagi,2179.249567919531,-0.11958466532313353,-0.6175550693087428
1254,PB,Arara,2158.7958687551222,-0.1191395209073188,-0.6241217420462015
1255,PB,Araruna,2187.783710969541,-0.1139952554412612,-0.6237105213611837
1256,PB,Areia,2149.193593961144,-0.12157117084705281,-0.6231417340774263
1257,PB,Areia de Baraúnas,2061.9012227535472,-0.12433193288475025,-0.6447858511108084
1258,PB,Areial,2128.1161602537322,-0.123045033135299,-0.6269713011426568
1259,PB,Aroeiras,2094.5085128179294,-0.13174551575786594,-0.6233546912603758
1260,PB,Assunção,2078.30850363156,-0.12350520411515241,-0.6411150662102908
1261,PB,Baía da Traição,2221.9317661966743,-0.11657977567919928,-0.609991370952897
1262,PB,Bananeiras,2173.625779466433,-0.11780339376408795,-0.6218887360571516
1263,PB,Baraúna,2147.0584637933184,-0.11593183811528983,-0.6327349354715098
1264,PB,Barra de Santana,2079.663232869559,-0.13129821855172272,-0.6282541992971922
1265,PB,Barra de Santa Rosa,2150.9368976161413,-0.11729053579008498,-0.6293617601269651
1266,PB,Barra de São Miguel,2038.635116450355,-0.13530962824984055,-0.6339303920196552
1267,PB,Bayeux,2181.9081527266667,-0.12448170782581795,-0.6096292976016607
1268,PB,Belém,2184.5552300684203,-0.11683308380980403,-0.6202249866237708
1269,PB,Belém do Brejo do Cruz,2120.5952973389185,-0.1080110097164655,-0.6551879178767194
1270,PB,Bernardino Batista,2044.1285740395913,-0.11263565742615413,-0.6728046908306423
1271,PB,Boa Ventura,1964.25954551091,-0.12954326144747316,-0.6670465294528978
1272,PB,Boa Vista,2090.0357031365206,-0.12667448008003457,-0.6324265760364843
1273,PB,Bom Jesus,2002.5279619807054,-0.11899580927497912,-0.6746595148107529
1274,PB,Bom Sucesso,2075.3756962856824,-0.11248728576122094,-0.6620037988791033
1275,PB,Bonito de Santa Fé,1960.2065461870425,-0.12759688661240287,-0.672239659402933
1276,PB,Boqueirão,2075.110432244424,-0.13059684296975993,-0.6306468828554759
1277,PB,Igaracy,1991.8813212201194,-0.1253027596868762,-0.6657854203046488
1278,PB,Borborema,2170.4804798268783,-0.11875754097291538,-0.6213263222550556
1279,PB,Brejo do Cruz,2107.0026380632544,-0.11078839769254958,-0.6545013081310397
1280,PB,Brejo dos Santos,2087.563556468734,-0.11128539243879436,-0.6601482778755761
1281,PB,Caaporã,2148.063216636971,-0.13114906028434897,-0.609431452730776
1282,PB,Cabaceiras,2065.32277504442,-0.1307368524760128,-0.6332812328963114
1283,PB,Cabedelo,2202.6382616336946,-0.12159679338526552,-0.6080627633811165
1284,PB,Cachoeira dos Índios,1990.808429891479,-0.12084547782824144,-0.6750637397797965
1285,PB,Cacimba de Areia,2049.481463692619,-0.1244153310676637,-0.6485332300211689
1286,PB,Cacimba de Dentro,2174.2286926450006,-0.11589015462271332,-0.6247025733060746
1287,PB,Cacimbas,2046.8601542284678,-0.125879416667212,-0.6468260389220818
1288,PB,Caiçara,2195.7414208332416,-0.1154966360024657,-0.6190528269887898
1289,PB,Cajazeiras,1999.8581722834517,-0.12026129251678482,-0.6730082163031832
1290,PB,Cajazeirinhas,2031.128140927502,-0.1215219143952865,-0.6597202211983053
1291,PB,Caldas Brandão,2152.296751795444,-0.12517067571028467,-0.6168409330032815
1292,PB,Camalaú,1995.401115254575,-0.1377281566314705,-0.6428328734595583
1293,PB,Campina Grande,2114.471569423927,-0.12603890027102466,-0.6262914898750379
1294,PB,Capim,2187.1236058358973,-0.12061698843493437,-0.6137928310421217
1295,PB,Caraúbas,2030.2560300124273,-0.13493313884724722,-0.6369662544580095
1296,PB,Carrapateira,1995.6897692766468,-0.12286514471615904,-0.6692328309547632
1297,PB,Casserengue,2159.367620146827,-0.11839895334962791,-0.6251124451727212
1298,PB,Catingueira,2025.2092350212881,-0.12435837061913267,-0.6564308963579484
1299,PB,Catolé do Rocha,2094.296109289646,-0.11077173657356121,-0.6588356142703478
1300,PB,Caturité,2087.7759813295493,-0.12949676893750756,-0.628679095218094
1301,PB,Conceição,1935.8705248072274,-0.13195081995304342,-0.6721115985638562
1302,PB,Condado,2046.3152861418926,-0.12064251217180344,-0.6563131116143363
1303,PB,Conde,2171.4031061245414,-0.12677324383101396,-0.6092447233243361
1304,PB,Congo,2014.6674640992114,-0.13600601726206946,-0.6398644571513176
1305,PB,Coremas,2018.205271519642,-0.1224683274026812,-0.6622745618904777
1306,PB,Coxixola,2033.4025948312997,-0.13314762492860613,-0.6388747972883768
1307,PB,Cruz do Espírito Santo,2170.8038184336406,-0.12463984297952387,-0.6124620246799778
1308,PB,Cubati,2120.732923515055,-0.11977078708970386,-0.6343910498311781
1309,PB,Cuité,2167.69140849464,-0.11319429382611254,-0.630992517646874
1310,PB,Cuitegi,2166.453684916074,-0.12035465441264276,-0.620041153722124
1311,PB,Cuité de Mamanguape,2181.5343417545114,-0.12067481291220225,-0.6152778650031411
1312,PB,Curral de Cima,2198.795553187119,-0.11724127128187882,-0.6155262668299589
1313,PB,Curral Velho,1953.8397806123019,-0.13156440442491635,-0.6667226062868683
1314,PB,Damião,2168.0608317897836,-0.11574844541186043,-0.6267467314516717
1315,PB,Desterro,2037.5031865887665,-0.12725976664188932,-0.6473804813848594
1316,PB,Vista Serrana,2064.9789704782456,-0.11764718675065589,-0.655683801703442
1317,PB,Diamante,1961.7649783698332,-0.12956597299640502,-0.6678510098612579
1318,PB,Dona Inês,2187.93355604294,-0.11522877935001373,-0.621730622278493
1319,PB,Duas Estradas,2192.2669249571168,-0.11672994087065176,-0.6181638002972449
1320,PB,Emas,2021.3670213264732,-0.12405786766156197,-0.6582437012919711
1321,PB,Esperança,2134.700078003418,-0.1225340689953781,-0.6258505179916859
1322,PB,Fagundes,2107.372686792511,-0.1285096680239562,-0.6245592464210965
1323,PB,Frei Martinho,2158.3616861652927,-0.11177988862055119,-0.6362081879622027
1324,PB,Gado Bravo,2086.6968652786613,-0.1323472905289401,-0.6246646996979582
1325,PB,Guarabira,2172.630159290457,-0.1196024394508032,-0.6194167404040046
1326,PB,Gurinhém,2151.43376865886,-0.1243235667432286,-0.6183384947980451
1327,PB,Gurjão,2076.400381239272,-0.12647042631203706,-0.6368056501171976
1328,PB,Ibiara,1947.2754914096831,-0.13086219069221353,-0.6703036102114794
1329,PB,Imaculada,2005.0905358593693,-0.12895430211596962,-0.654674308913719
1330,PB,Ingá,2123.902799439788,-0.12732223866217457,-0.6216459487852404
1331,PB,Itabaiana,2138.012060365775,-0.1279488919131667,-0.616756307117375
1332,PB,Itaporanga,1979.309825979011,-0.12747850758243517,-0.6658880188197569
1333,PB,Itapororoca,2189.695442638171,-0.11920459449269778,-0.6151639093513377
1334,PB,Itatuba,2115.8886370996984,-0.1287172950202393,-0.6218287202439585
1335,PB,Jacaraú,2206.790638985764,-0.11541807516887109,-0.6160014358534257
1336,PB,Jericó,2070.5756305361188,-0.11442718899396467,-0.659885277741394
1337,PB,João Pessoa,2183.9106168866856,-0.12478025573188307,-0.6086553863105636
1338,PB,Juarez Távora,2137.4128695265313,-0.12507630907899092,-0.6211832426256367
1339,PB,Juazeirinho,2088.6395971354445,-0.12331393988603938,-0.6382791423083758
1340,PB,Junco do Seridó,2087.1717316216404,-0.1220567676769842,-0.6408227890104288
1341,PB,Juripiranga,2140.5856241389824,-0.12863584082169865,-0.6150444997533159
1342,PB,Juru,1974.2719943065074,-0.1314984664215921,-0.6600706860156207
1343,PB,Lagoa,2061.3931497489557,-0.11509065186545454,-0.6617431579134526
1344,PB,Lagoa de Dentro,2196.3985112684913,-0.11642391649766988,-0.6174458912828366
1345,PB,Lagoa Seca,2122.2993447638323,-0.12493786714195106,-0.6257256719391356
1346,PB,Lastro,2055.826767562416,-0.11373491522725655,-0.6663530685376671
1347,PB,Livramento,2037.220013802001,-0.1287878947718157,-0.6448752354536609
1348,PB,Logradouro,2197.4996383440025,-0.11546001256147523,-0.6186022715252044
1349,PB,Lucena,2206.6125090945857,-0.12040763555411248,-0.6086767540955977
1350,PB,Mãe d'Água,2022.2654511093194,-0.12665940064648218,-0.6532446423292668
1351,PB,Malta,2051.3908779566414,-0.12055312244984617,-0.6548087141712347
1352,PB,Mamanguape,2196.935967379086,-0.11927082945681297,-0.613027582495499
1353,PB,Manaíra,1939.9889387167716,-0.13447088436663662,-0.6658967203228037
1354,PB,Marcação,2209.6336454101697,-0.11815973587468509,-0.6111082647109336
1355,PB,Mari,2164.3767701571737,-0.12315713408504754,-0.6164248521749447
1356,PB,Marizópolis,2014.488166387305,-0.11946210236021239,-0.6694279483821723
1357,PB,Massaranduba,2127.1849169000757,-0.12531812172065043,-0.6237373068559101
1358,PB,Mataraca,2223.0581619118216,-0.11520078285858572,-0.6117127294829346
1359,PB,Matinhas,2130.633857065232,-0.1242878341863562,-0.6243206344375232
1360,PB,Mato Grosso,2076.9019358937035,-0.11419049617269145,-0.6581911096887918
1361,PB,Maturéia,2025.6547725706746,-0.12681440175259284,-0.6518880483434525
1362,PB,Mogeiro,2130.9386309043894,-0.12757450189906272,-0.6192851358955385
1363,PB,Montadas,2122.3373135961674,-0.12372807209789946,-0.6275902995802624
1364,PB,Monte Horebe,1966.933982804835,-0.1258299732295963,-0.6734118607390656
1365,PB,Monteiro,1978.459478340664,-0.1377451719318693,-0.6479130050429595
1366,PB,Mulungu,2157.944691378543,-0.12265975070633825,-0.6189835224460513
1367,PB,Natuba,2095.947940085165,-0.13336023856792695,-0.6205717940268441
1368,PB,Nazarezinho,2009.5438620033228,-0.12064939124393316,-0.6687911902804404
1369,PB,Nova Floresta,2167.6452445910945,-0.11268089895392507,-0.6318527426131606
1370,PB,Nova Olinda,1968.1407802815181,-0.13049552417892868,-0.6639415769204101
1371,PB,Nova Palmeira,2134.2975843967524,-0.11652875481126027,-0.6356264507420574
1372,PB,Olho d'Água,2007.9383140613004,-0.12609956108285997,-0.6589086639440859
1373,PB,Olivedos,2114.908093447975,-0.12196754598136467,-0.6325712910690829
1374,PB,Ouro Velho,2002.7063910678044,-0.13297056413658595,-0.648466244080274
1375,PB,Parari,2059.7575608867787,-0.127700507139961,-0.6398084598103744
1376,PB,Passagem,2054.8255104452496,-0.12449118691318906,-0.6467211417420262
1377,PB,Patos,2052.9927206851703,-0.12260050788899907,-0.6506048727164726
